feature,feature_status,canonical_feature,tp_item
F-BTALU-010,ACTIVE,F-BTALU-010,TP-BTALU-010
F-BTALU-010,ACTIVE,F-BTALU-010,TP-BTALU-017
F-BTALU-010,ACTIVE,F-BTALU-010,TP-XIF-005
F-BTALU-011,ACTIVE,F-BTALU-011,TP-BTALU-011
F-BTALU-011,ACTIVE,F-BTALU-011,TP-BTALU-017
F-BTALU-011,ACTIVE,F-BTALU-011,TP-BTALU-018
F-BTALU-012,FOLDED,F-ISA-030,TP-BTALU-012
F-BTALU-013,ACTIVE,F-BTALU-013,TP-ADOPT-001
F-BTALU-013,ACTIVE,F-BTALU-013,TP-BTALU-013
F-BTALU-013,ACTIVE,F-BTALU-013,TP-BTALU-017
F-BTALU-014,ACTIVE,F-BTALU-014,TP-BTALU-014
F-BTALU-014,ACTIVE,F-BTALU-014,TP-BTALU-017
F-BTALU-015,ALIAS,F-PMC-040,TP-BTALU-015
F-BTALU-015,ALIAS,F-PMC-040,TP-BTALU-016
F-BTALU-016,ALIAS,F-PMC-039,TP-BTALU-018
F-CHERI-001,ACTIVE,F-CHERI-001,TP-CHERI-001
F-CHERI-001,ACTIVE,F-CHERI-001,TP-CHERI-002
F-CHERI-001,ACTIVE,F-CHERI-001,TP-CHERI-003
F-CHERI-001,ACTIVE,F-CHERI-001,TP-CHERI-004
F-CMP-001,ACTIVE,F-CMP-001,TP-CMP-001
F-CMP-001,ACTIVE,F-CMP-001,TP-CMP-070
F-CMP-001,ACTIVE,F-CMP-001,TP-REG-015
F-CMP-002,ACTIVE,F-CMP-002,TP-ADOPT-005
F-CMP-002,ACTIVE,F-CMP-002,TP-CMP-002
F-CMP-002,ACTIVE,F-CMP-002,TP-CMP-070
F-CMP-003,ACTIVE,F-CMP-003,TP-CMP-003
F-CMP-004,ACTIVE,F-CMP-004,TP-ADOPT-005
F-CMP-004,ACTIVE,F-CMP-004,TP-CMP-004
F-CMP-004,ACTIVE,F-CMP-004,TP-CMP-070
F-CMP-005,ACTIVE,F-CMP-005,TP-CMP-005
F-CMP-005,ACTIVE,F-CMP-005,TP-CMP-070
F-CMP-006,ACTIVE,F-CMP-006,TP-CMP-006
F-CMP-007,ACTIVE,F-CMP-007,TP-CMP-007
F-CMP-008,ACTIVE,F-CMP-008,TP-CMP-008
F-CMP-008,ACTIVE,F-CMP-008,TP-CMP-070
F-CMP-009,ACTIVE,F-CMP-009,TP-CMP-009
F-CMP-010,ACTIVE,F-CMP-010,TP-CMP-010
F-CMP-010,ACTIVE,F-CMP-010,TP-CMP-070
F-CMP-011,ACTIVE,F-CMP-011,TP-CMP-011
F-CMP-012,ACTIVE,F-CMP-012,TP-CMP-012
F-CMP-012,ACTIVE,F-CMP-012,TP-CMP-070
F-CMP-013,ACTIVE,F-CMP-013,TP-CMP-013
F-CMP-014,ACTIVE,F-CMP-014,TP-CMP-014
F-CMP-014,ACTIVE,F-CMP-014,TP-CMP-070
F-CMP-015,ACTIVE,F-CMP-015,TP-CMP-015
F-CMP-016,ACTIVE,F-CMP-016,TP-CMP-016
F-CMP-016,ACTIVE,F-CMP-016,TP-CMP-070
F-CMP-017,ACTIVE,F-CMP-017,TP-CMP-017
F-CMP-018,ACTIVE,F-CMP-018,TP-ADOPT-005
F-CMP-018,ACTIVE,F-CMP-018,TP-CMP-018
F-CMP-018,ACTIVE,F-CMP-018,TP-CMP-070
F-CMP-019,ACTIVE,F-CMP-019,TP-CMP-019
F-CMP-020,ACTIVE,F-CMP-020,TP-ADOPT-005
F-CMP-020,ACTIVE,F-CMP-020,TP-CMP-020
F-CMP-020,ACTIVE,F-CMP-020,TP-CMP-070
F-CMP-021,ACTIVE,F-CMP-021,TP-ADOPT-005
F-CMP-021,ACTIVE,F-CMP-021,TP-CMP-021
F-CMP-021,ACTIVE,F-CMP-021,TP-CMP-070
F-CMP-022,ACTIVE,F-CMP-022,TP-CMP-022
F-CMP-023,ACTIVE,F-CMP-023,TP-ADOPT-005
F-CMP-023,ACTIVE,F-CMP-023,TP-CMP-023
F-CMP-023,ACTIVE,F-CMP-023,TP-CMP-070
F-CMP-024,ACTIVE,F-CMP-024,TP-CMP-024
F-CMP-024,ACTIVE,F-CMP-024,TP-CMP-070
F-CMP-025,ACTIVE,F-CMP-025,TP-CMP-025
F-CMP-026,ACTIVE,F-CMP-026,TP-CMP-026
F-CMP-026,ACTIVE,F-CMP-026,TP-CMP-070
F-CMP-027,ACTIVE,F-CMP-027,TP-CMP-027
F-CMP-028,ACTIVE,F-CMP-028,TP-CMP-028
F-CMP-028,ACTIVE,F-CMP-028,TP-CMP-070
F-CMP-029,ACTIVE,F-CMP-029,TP-CMP-029
F-CMP-030,ACTIVE,F-CMP-030,TP-CMP-030
F-CMP-030,ACTIVE,F-CMP-030,TP-CMP-070
F-CMP-031,ACTIVE,F-CMP-031,TP-CMP-031
F-CMP-032,ACTIVE,F-CMP-032,TP-CMP-032
F-CMP-032,ACTIVE,F-CMP-032,TP-CMP-070
F-CMP-033,ALIAS,F-ISA-034,TP-CMP-033
F-CMP-034,ACTIVE,F-CMP-034,TP-ADOPT-005
F-CMP-034,ACTIVE,F-CMP-034,TP-CMP-034
F-CMP-034,ACTIVE,F-CMP-034,TP-CMP-070
F-CMP-035,ACTIVE,F-CMP-035,TP-CMP-035
F-CMP-036,ACTIVE,F-CMP-036,TP-ADOPT-005
F-CMP-036,ACTIVE,F-CMP-036,TP-CMP-036
F-CMP-036,ACTIVE,F-CMP-036,TP-CMP-070
F-CMP-037,ACTIVE,F-CMP-037,TP-CMP-037
F-CMP-038,ACTIVE,F-CMP-038,TP-CMP-038
F-CMP-038,ACTIVE,F-CMP-038,TP-CMP-070
F-CMP-039,ACTIVE,F-CMP-039,TP-CMP-039
F-CMP-039,ACTIVE,F-CMP-039,TP-CMP-071
F-CMP-039,ACTIVE,F-CMP-039,TP-REG-015
F-CMP-040,ACTIVE,F-CMP-040,TP-CMP-040
F-CMP-041,ACTIVE,F-CMP-041,TP-CMP-041
F-CMP-042,FOLDED,F-CMP-039,TP-CMP-042
F-CMP-043,FOLDED,F-CMP-039,TP-CMP-043
F-CMP-044,ACTIVE,F-CMP-044,TP-CMP-044
F-CMP-045,ACTIVE,F-CMP-045,TP-CMP-045
F-CMP-045,ACTIVE,F-CMP-045,TP-CMP-071
F-CMP-046,FOLDED,F-CMP-045,TP-CMP-046
F-CMP-047,ACTIVE,F-CMP-047,TP-CMP-047
F-CMP-047,ACTIVE,F-CMP-047,TP-CMP-071
F-CMP-048,ACTIVE,F-CMP-048,TP-CMP-048
F-CMP-048,ACTIVE,F-CMP-048,TP-CMP-071
F-CMP-049,ACTIVE,F-CMP-049,TP-CMP-049
F-CMP-050,ACTIVE,F-CMP-050,TP-CMP-050
F-CMP-050,ACTIVE,F-CMP-050,TP-CMP-071
F-CMP-051,ACTIVE,F-CMP-051,TP-CMP-051
F-CMP-052,ACTIVE,F-CMP-052,TP-CMP-052
F-CMP-052,ACTIVE,F-CMP-052,TP-CMP-071
F-CMP-053,FOLDED,F-CMP-052,TP-CMP-053
F-CMP-054,ACTIVE,F-CMP-054,TP-CMP-054
F-CMP-055,ACTIVE,F-CMP-055,TP-CMP-055
F-CMP-056,ACTIVE,F-CMP-056,TP-CMP-056
F-CMP-056,ACTIVE,F-CMP-056,TP-CMP-071
F-CMP-056,ACTIVE,F-CMP-056,TP-REG-025
F-CMP-056,ACTIVE,F-CMP-056,TP-XIF-011
F-CMP-057,ACTIVE,F-CMP-057,TP-CMP-057
F-CMP-057,ACTIVE,F-CMP-057,TP-CMP-071
F-CMP-057,ACTIVE,F-CMP-057,TP-REG-025
F-CMP-057,ACTIVE,F-CMP-057,TP-XIF-011
F-CMP-058,ACTIVE,F-CMP-058,TP-CMP-058
F-CMP-058,ACTIVE,F-CMP-058,TP-CMP-071
F-CMP-058,ACTIVE,F-CMP-058,TP-XIF-011
F-CMP-059,ACTIVE,F-CMP-059,TP-CMP-059
F-CMP-059,ACTIVE,F-CMP-059,TP-CMP-071
F-CMP-059,ACTIVE,F-CMP-059,TP-XIF-012
F-CMP-060,ACTIVE,F-CMP-060,TP-CMP-060
F-CMP-060,ACTIVE,F-CMP-060,TP-CMP-061
F-CMP-060,ACTIVE,F-CMP-060,TP-CMP-071
F-CMP-060,ACTIVE,F-CMP-060,TP-XIF-013
F-CMP-061,ACTIVE,F-CMP-061,TP-CMP-062
F-CMP-061,ACTIVE,F-CMP-061,TP-CMP-071
F-CMP-061,ACTIVE,F-CMP-061,TP-XIF-013
F-CMP-062,ACTIVE,F-CMP-062,TP-CMP-063
F-CMP-063,FOLDED,F-CMP-039,TP-CMP-064
F-CMP-063,FOLDED,F-CMP-039,TP-CMP-071
F-CMP-063,FOLDED,F-CMP-039,TP-XIF-013
F-CMP-064,ACTIVE,F-CMP-064,TP-CMP-065
F-CMP-065,FOLDED,F-CMP-039,TP-CMP-066
F-CMP-065,FOLDED,F-CMP-039,TP-CMP-071
F-CMP-066,FOLDED,F-EXC-008,TP-CMP-067
F-CMP-067,ACTIVE,F-CMP-067,TP-CMP-068
F-CMP-068,ACTIVE,F-CMP-068,TP-ADOPT-001
F-CMP-068,ACTIVE,F-CMP-068,TP-CMP-069
F-CMP-068,ACTIVE,F-CMP-068,TP-CMP-071
F-CMP-069,ACTIVE,F-CMP-069,TP-CMP-072
F-CMP-070,ACTIVE,F-CMP-070,TP-CMP-073
F-CSR-001,ACTIVE,F-CSR-001,TP-CSR-001
F-CSR-001,ACTIVE,F-CSR-001,TP-CSR-116
F-CSR-001,ACTIVE,F-CSR-001,TP-REG-015
F-CSR-002,ACTIVE,F-CSR-002,TP-CSR-002
F-CSR-003,ACTIVE,F-CSR-003,TP-CSR-003
F-CSR-004,FOLDED,F-CSR-001,TP-CSR-004
F-CSR-005,ACTIVE,F-CSR-005,TP-CSR-005
F-CSR-006,ACTIVE,F-CSR-006,TP-CSR-006
F-CSR-006,ACTIVE,F-CSR-006,TP-CSR-115
F-CSR-006,ACTIVE,F-CSR-006,TP-CSR-116
F-CSR-006,ACTIVE,F-CSR-006,TP-XIF-010
F-CSR-006,ACTIVE,F-CSR-006,TP-XIF-014
F-CSR-006,ACTIVE,F-CSR-006,TP-XIF-019
F-CSR-007,FOLDED,F-CSR-006,TP-CSR-007
F-CSR-007,FOLDED,F-CSR-006,TP-XIF-014
F-CSR-008,ACTIVE,F-CSR-008,TP-CSR-008
F-CSR-008,ACTIVE,F-CSR-008,TP-XIF-010
F-CSR-008,ACTIVE,F-CSR-008,TP-XIF-014
F-CSR-009,ACTIVE,F-CSR-009,TP-CSR-009
F-CSR-009,ACTIVE,F-CSR-009,TP-CSR-112
F-CSR-009,ACTIVE,F-CSR-009,TP-CSR-116
F-CSR-010,FOLDED,F-CSR-009,TP-CSR-010
F-CSR-010,FOLDED,F-CSR-009,TP-CSR-112
F-CSR-011,ACTIVE,F-CSR-011,TP-CSR-011
F-CSR-011,ACTIVE,F-CSR-011,TP-CSR-111
F-CSR-011,ACTIVE,F-CSR-011,TP-CSR-116
F-CSR-012,ALIAS,F-CSR-002,TP-CSR-012
F-CSR-013,ALIAS,F-CSR-003,TP-CSR-013
F-CSR-013,ALIAS,F-CSR-003,TP-CSR-111
F-CSR-014,ACTIVE,F-CSR-014,TP-CSR-014
F-CSR-014,ACTIVE,F-CSR-014,TP-CSR-110
F-CSR-014,ACTIVE,F-CSR-014,TP-CSR-117
F-CSR-014,ACTIVE,F-CSR-014,TP-XIF-020
F-CSR-015,FOLDED,F-CSR-014,TP-CSR-015
F-CSR-015,FOLDED,F-CSR-014,TP-CSR-110
F-CSR-016,ACTIVE,F-CSR-016,TP-CSR-016
F-CSR-016,ACTIVE,F-CSR-016,TP-CSR-112
F-CSR-017,ALIAS,F-DBG-050,TP-CSR-017
F-CSR-017,ALIAS,F-DBG-050,TP-CSR-110
F-CSR-017,ALIAS,F-DBG-050,TP-CSR-118
F-CSR-018,ACTIVE,F-CSR-018,TP-CSR-018
F-CSR-019,ACTIVE,F-CSR-019,TP-CSR-019
F-CSR-019,ACTIVE,F-CSR-019,TP-CSR-105
F-CSR-020,ACTIVE,F-CSR-020,TP-CSR-020
F-CSR-021,ACTIVE,F-CSR-021,TP-CSR-021
F-CSR-021,ACTIVE,F-CSR-021,TP-CSR-105
F-CSR-022,FOLDED,F-CSR-021,TP-CSR-022
F-CSR-023,ACTIVE,F-CSR-023,TP-CSR-023
F-CSR-023,ACTIVE,F-CSR-023,TP-CSR-105
F-CSR-024,ACTIVE,F-CSR-024,TP-CSR-024
F-CSR-024,ACTIVE,F-CSR-024,TP-PMP-075
F-CSR-025,FOLDED,F-CSR-023,TP-CSR-025
F-CSR-026,ACTIVE,F-CSR-026,TP-CSR-026
F-CSR-026,ACTIVE,F-CSR-026,TP-CSR-119
F-CSR-026,ACTIVE,F-CSR-026,TP-XIF-014
F-CSR-027,ACTIVE,F-CSR-027,TP-CSR-027
F-CSR-027,ACTIVE,F-CSR-027,TP-CSR-105
F-CSR-028,ACTIVE,F-CSR-028,TP-CSR-028
F-CSR-028,ACTIVE,F-CSR-028,TP-CSR-105
F-CSR-029,ACTIVE,F-CSR-029,TP-CSR-029
F-CSR-029,ACTIVE,F-CSR-029,TP-CSR-105
F-CSR-030,FOLDED,F-CSR-029,TP-CSR-030
F-CSR-031,ACTIVE,F-CSR-031,TP-CSR-031
F-CSR-031,ACTIVE,F-CSR-031,TP-CSR-119
F-CSR-031,ACTIVE,F-CSR-031,TP-XIF-014
F-CSR-032,ACTIVE,F-CSR-032,TP-CSR-032
F-CSR-032,ACTIVE,F-CSR-032,TP-CSR-106
F-CSR-032,ACTIVE,F-CSR-032,TP-CSR-119
F-CSR-033,ACTIVE,F-CSR-033,TP-CSR-033
F-CSR-033,ACTIVE,F-CSR-033,TP-XIF-014
F-CSR-034,ACTIVE,F-CSR-034,TP-CSR-034
F-CSR-034,ACTIVE,F-CSR-034,TP-CSR-114
F-CSR-034,ACTIVE,F-CSR-034,TP-CSR-119
F-CSR-035,ACTIVE,F-CSR-035,TP-CSR-035
F-CSR-035,ACTIVE,F-CSR-035,TP-CSR-105
F-CSR-036,FOLDED,F-CSR-035,TP-CSR-036
F-CSR-037,FOLDED,F-CSR-035,TP-CSR-037
F-CSR-038,ACTIVE,F-CSR-038,TP-CSR-038
F-CSR-038,ACTIVE,F-CSR-038,TP-CSR-106
F-CSR-039,ACTIVE,F-CSR-039,TP-CSR-039
F-CSR-039,ACTIVE,F-CSR-039,TP-CSR-106
F-CSR-040,FOLDED,F-CSR-039,TP-CSR-040
F-CSR-041,ACTIVE,F-CSR-041,TP-CSR-041
F-CSR-042,ACTIVE,F-CSR-042,TP-CSR-042
F-CSR-042,ACTIVE,F-CSR-042,TP-CSR-106
F-CSR-043,FOLDED,F-CSR-042,TP-CSR-043
F-CSR-044,FOLDED,F-CSR-042,TP-CSR-044
F-CSR-045,FOLDED,F-CSR-042,TP-CSR-045
F-CSR-046,FOLDED,F-CSR-042,TP-CSR-046
F-CSR-047,ACTIVE,F-CSR-047,TP-CSR-047
F-CSR-047,ACTIVE,F-CSR-047,TP-CSR-106
F-CSR-048,FOLDED,F-CSR-047,TP-CSR-048
F-CSR-049,FOLDED,F-CSR-047,TP-CSR-049
F-CSR-050,ALIAS,F-PMC-025,TP-CSR-050
F-CSR-050,ALIAS,F-PMC-025,TP-CSR-105
F-CSR-051,FOLDED,F-PMC-025,TP-CSR-051
F-CSR-052,FOLDED,F-PMC-025,TP-CSR-052
F-CSR-053,ACTIVE,F-CSR-053,TP-CSR-053
F-CSR-053,ACTIVE,F-CSR-053,TP-CSR-117
F-CSR-054,FOLDED,F-CSR-053,TP-CSR-054
F-CSR-054,FOLDED,F-CSR-053,TP-CSR-117
F-CSR-055,ACTIVE,F-CSR-055,TP-CSR-055
F-CSR-056,ACTIVE,F-CSR-056,TP-CSR-056
F-CSR-057,FOLDED,F-CSR-011,TP-CSR-057
F-CSR-057,FOLDED,F-CSR-011,TP-CSR-111
F-CSR-058,ALIAS,F-PMC-020,TP-CSR-058
F-CSR-058,ALIAS,F-PMC-020,TP-CSR-107
F-CSR-059,FOLDED,F-PMC-020,TP-CSR-059
F-CSR-060,ACTIVE,F-CSR-060,TP-CSR-060
F-CSR-060,ACTIVE,F-CSR-060,TP-CSR-068
F-CSR-061,ALIAS,F-PMC-018,TP-CSR-061
F-CSR-061,ALIAS,F-PMC-018,TP-CSR-107
F-CSR-062,ALIAS,F-PMC-001,TP-CSR-062
F-CSR-062,ALIAS,F-PMC-001,TP-CSR-107
F-CSR-062,ALIAS,F-PMC-001,TP-CSR-120
F-CSR-063,ALIAS,F-PMC-004,TP-CSR-063
F-CSR-063,ALIAS,F-PMC-004,TP-CSR-113
F-CSR-063,ALIAS,F-PMC-004,TP-CSR-119
F-CSR-064,ALIAS,F-PMC-005,TP-CSR-064
F-CSR-065,ACTIVE,F-CSR-065,TP-CSR-065
F-CSR-065,ACTIVE,F-CSR-065,TP-CSR-113
F-CSR-066,ALIAS,F-PMC-007,TP-CSR-066
F-CSR-066,ALIAS,F-PMC-007,TP-CSR-107
F-CSR-066,ALIAS,F-PMC-007,TP-CSR-120
F-CSR-067,FOLDED,F-PMC-007,TP-CSR-067
F-CSR-067,FOLDED,F-PMC-007,TP-CSR-113
F-CSR-068,ALIAS,F-PMC-009,TP-CSR-068
F-CSR-069,ALIAS,F-PMC-015,TP-CSR-069
F-CSR-069,ALIAS,F-PMC-015,TP-CSR-107
F-CSR-069,ALIAS,F-PMC-015,TP-CSR-120
F-CSR-070,ALIAS,F-PMC-016,TP-CSR-070
F-CSR-070,ALIAS,F-PMC-016,TP-CSR-120
F-CSR-071,ACTIVE,F-CSR-071,TP-CSR-071
F-CSR-072,FOLDED,F-PMC-007,TP-CSR-072
F-CSR-073,ACTIVE,F-CSR-073,TP-CSR-073
F-CSR-073,ACTIVE,F-CSR-073,TP-CSR-113
F-CSR-074,ALIAS,F-DBG-012,TP-CSR-074
F-CSR-074,ALIAS,F-DBG-012,TP-CSR-108
F-CSR-074,ALIAS,F-DBG-012,TP-CSR-118
F-CSR-075,FOLDED,F-DBG-012,TP-CSR-075
F-CSR-076,ALIAS,F-DBG-016,TP-CSR-076
F-CSR-077,ALIAS,F-DBG-013,TP-CSR-077
F-CSR-078,ACTIVE,F-CSR-078,TP-CSR-078
F-CSR-078,ACTIVE,F-CSR-078,TP-CSR-108
F-CSR-079,ACTIVE,F-CSR-079,TP-CSR-079
F-CSR-079,ACTIVE,F-CSR-079,TP-CSR-108
F-CSR-080,ACTIVE,F-CSR-080,TP-CSR-080
F-CSR-080,ACTIVE,F-CSR-080,TP-CSR-108
F-CSR-080,ACTIVE,F-CSR-080,TP-CSR-118
F-CSR-081,ACTIVE,F-CSR-081,TP-CSR-081
F-CSR-081,ACTIVE,F-CSR-081,TP-CSR-108
F-CSR-081,ACTIVE,F-CSR-081,TP-CSR-118
F-CSR-082,ALIAS,F-TRG-007,TP-CSR-082
F-CSR-082,ALIAS,F-TRG-007,TP-CSR-108
F-CSR-082,ALIAS,F-TRG-007,TP-CSR-118
F-CSR-083,ALIAS,F-TRG-008,TP-CSR-083
F-CSR-083,ALIAS,F-TRG-008,TP-CSR-110
F-CSR-084,FOLDED,F-TRG-007,TP-CSR-084
F-CSR-084,FOLDED,F-TRG-007,TP-CSR-118
F-CSR-085,ACTIVE,F-CSR-085,TP-CSR-085
F-CSR-085,ACTIVE,F-CSR-085,TP-CSR-109
F-CSR-086,ALIAS,F-IC-040,TP-CSR-086
F-CSR-087,FOLDED,F-CSR-085,TP-CSR-087
F-CSR-088,FOLDED,F-CSR-085,TP-CSR-088
F-CSR-089,ALIAS,F-SEC-022,TP-CSR-089
F-CSR-089,ALIAS,F-SEC-022,TP-CSR-094
F-CSR-090,FOLDED,F-SEC-022,TP-CSR-090
F-CSR-091,ALIAS,F-SEC-025,TP-CSR-091
F-CSR-092,ACTIVE,F-CSR-092,TP-CSR-092
F-CSR-092,ACTIVE,F-CSR-092,TP-CSR-109
F-CSR-093,FOLDED,F-CSR-092,TP-CSR-093
F-CSR-094,ACTIVE,F-CSR-094,TP-CSR-095
F-CSR-094,ACTIVE,F-CSR-094,TP-CSR-109
F-CSR-095,ACTIVE,F-CSR-095,TP-CSR-096
F-CSR-096,ACTIVE,F-CSR-096,TP-CSR-097
F-CSR-096,ACTIVE,F-CSR-096,TP-CSR-109
F-CSR-097,ACTIVE,F-CSR-097,TP-CSR-098
F-CSR-097,ACTIVE,F-CSR-097,TP-CSR-110
F-CSR-098,ACTIVE,F-CSR-098,TP-CSR-099
F-CSR-099,ACTIVE,F-CSR-099,TP-CSR-100
F-CSR-100,ACTIVE,F-CSR-100,TP-CSR-001
F-CSR-100,ACTIVE,F-CSR-100,TP-CSR-101
F-CSR-100,ACTIVE,F-CSR-100,TP-CSR-115
F-CSR-100,ACTIVE,F-CSR-100,TP-CSR-116
F-CSR-101,ACTIVE,F-CSR-101,TP-CSR-102
F-CSR-102,ACTIVE,F-CSR-102,TP-CSR-103
F-CSR-103,FOLDED,F-CSR-009,TP-CSR-009
F-CSR-103,FOLDED,F-CSR-009,TP-CSR-104
F-DBG-001,ACTIVE,F-DBG-001,TP-DBG-001
F-DBG-001,ACTIVE,F-DBG-001,TP-DBG-002
F-DBG-001,ACTIVE,F-DBG-001,TP-DBG-007
F-DBG-001,ACTIVE,F-DBG-001,TP-DBG-008
F-DBG-001,ACTIVE,F-DBG-001,TP-DBG-009
F-DBG-001,ACTIVE,F-DBG-001,TP-DBG-068
F-DBG-001,ACTIVE,F-DBG-001,TP-DBG-069
F-DBG-001,ACTIVE,F-DBG-001,TP-DBG-071
