index,tp_item,bin,test_group,marked
33,TP-DMEM-004,w_tp_dmem_004,gen_dmem_proto_basic,1
34,TP-DMEM-005,w_tp_dmem_005,gen_dmem_latency,1
35,TP-DMEM-006,w_tp_dmem_006,gen_dmem_proto_basic,1
36,TP-DMEM-007,w_tp_dmem_007,gen_dmem_proto_basic,1
37,TP-DMEM-008,w_tp_dmem_008,gen_dmem_proto_basic,1
38,TP-DMEM-019,w_tp_dmem_019,gen_dmem_misaligned,1
39,TP-DMEM-020,w_tp_dmem_020,gen_dmem_misaligned,1
40,TP-DMEM-021,w_tp_dmem_021,gen_dmem_misaligned,1
41,TP-DMEM-022,w_tp_dmem_022,gen_dmem_misaligned,1
42,TP-DMEM-027,w_tp_dmem_027,gen_dmem_err,1
43,TP-DMEM-034,w_tp_dmem_034,gen_dmem_err,1
44,TP-DMEM-037,w_tp_dmem_037,gen_dmem_err,1
45,TP-DMEM-039,w_tp_dmem_039,gen_dmem_intg,1
46,TP-DMEM-044,w_tp_dmem_044,gen_dmem_ctx,1
47,TP-DMEM-046,w_tp_dmem_046,gen_dmem_ctx,1
48,TP-DMEM-047,w_tp_dmem_047,gen_dmem_ctx,1
49,TP-DMEM-049,w_tp_dmem_049,gen_dmem_proto_basic,1
50,TP-DMEM-051,w_tp_dmem_051,gen_dmem_ctx,1
51,TP-DMEM-056,w_tp_dmem_056,gen_dmem_regime,1
52,TP-DMEM-057,w_tp_dmem_057,gen_dmem_proto_basic,1
53,TP-DMEM-058,w_tp_dmem_058,gen_dmem_proto_basic,1
54,TP-DMEM-059,w_tp_dmem_059,gen_dmem_proto_basic,1
55,TP-DMEM-061,w_tp_dmem_061,gen_dmem_ctx,1
56,TP-DMEM-062,w_tp_dmem_062,gen_dmem_proto_basic_info,1
57,TP-DMEM-063,w_tp_dmem_063,gen_dmem_err_info,1
58,TP-DMEM-064,w_tp_dmem_064,gen_dmem_intg_xfail,1
59,TP-EXC-015,w_tp_exc_015,gen_exc_priority,1
60,TP-EXC-034,w_tp_exc_034,gen_exc_lsu_fault,1
61,TP-EXC-035,w_tp_exc_035,gen_exc_priority,1
62,TP-EXC-036,w_tp_exc_036,gen_exc_lsu_fault,1
63,TP-EXC-037,w_tp_exc_037,gen_exc_lsu_fault,1
64,TP-EXC-038,w_tp_exc_038,gen_exc_lsu_fault,1
65,TP-EXC-040,w_tp_exc_040,gen_exc_priority,1
66,TP-EXC-050,w_tp_exc_050,gen_exc_mret,1
67,TP-EXC-054,w_tp_exc_054,gen_exc_double_fault,1
68,TP-EXC-055,w_tp_exc_055,gen_exc_double_fault,1
69,TP-EXC-057,w_tp_exc_057,gen_exc_double_fault,1
70,TP-EXC-062,w_tp_exc_062,gen_exc_trap_state,1
71,TP-EXC-065,w_tp_exc_065,gen_exc_priority_info,1
72,TP-EXC-070,w_tp_exc_070,gen_exc_priority,1
73,TP-EXC-072,w_tp_exc_072,gen_exc_regime,1
74,TP-FE-008,w_tp_fe_008,gen_fe_align,1
75,TP-FE-012,w_tp_fe_012,gen_fe_redirect,1
76,TP-FE-013,w_tp_fe_013,gen_fe_redirect,1
77,TP-FE-014,w_tp_fe_014,gen_fe_redirect,1
78,TP-FE-016,w_tp_fe_016,gen_fe_backpressure,1
79,TP-FE-017,w_tp_fe_017,gen_fe_backpressure,1
80,TP-FE-022,w_tp_fe_022,gen_fe_fault,1
81,TP-FE-026,w_tp_fe_026,gen_fe_sleep,1
82,TP-IC-002,w_tp_ic_002,gen_ic_ram,1
83,TP-IC-003,w_tp_ic_003,gen_ic_ram,1
84,TP-IC-004,w_tp_ic_004,gen_ic_ram,1
85,TP-IC-005,w_tp_ic_005,gen_ic_ram,1
86,TP-IC-007,w_tp_ic_007,gen_ic_inval,1
87,TP-IC-008,w_tp_ic_008,gen_ic_inval,1
88,TP-IC-011,w_tp_ic_011,gen_ic_inval,1
89,TP-IC-015,w_tp_ic_015,gen_ic_inval,1
90,TP-IC-019,w_tp_ic_019,gen_ic_enable,1
91,TP-IC-020,w_tp_ic_020,gen_ic_enable,1
92,TP-IC-023,w_tp_ic_023,gen_ic_fill,1
93,TP-IC-024,w_tp_ic_024,gen_ic_fill,1
94,TP-IC-030,w_tp_ic_030,gen_ic_enable,1
95,TP-IC-031,w_tp_ic_031,gen_ic_enable,1
96,TP-IC-035,w_tp_ic_035,gen_ic_ecc,1
97,TP-IC-036,w_tp_ic_036,gen_ic_ecc,1
98,TP-IC-037,w_tp_ic_037,gen_ic_ecc,1
99,TP-IC-045,w_tp_ic_045,gen_ic_ram,1
100,TP-IC-046,w_tp_ic_046,gen_ic_ram,1
101,TP-IC-051,w_tp_ic_051,gen_ic_busy,1
102,TP-IC-052,w_tp_ic_052,gen_ic_busy,1
103,TP-IC-053,w_tp_ic_053,gen_ic_busy,1
104,TP-IC-057,w_tp_ic_057,gen_ic_enable,1
105,TP-IMEM-001,w_tp_imem_001,gen_imem_proto_basic,1
106,TP-IMEM-003,w_tp_imem_003,gen_imem_proto_basic,1
107,TP-IMEM-004,w_tp_imem_004,gen_imem_proto_basic,1
108,TP-IMEM-005,w_tp_imem_005,gen_imem_latency,1
109,TP-IMEM-006,w_tp_imem_006,gen_imem_proto_basic,1
110,TP-IMEM-007,w_tp_imem_007,gen_imem_proto_basic,1
111,TP-IMEM-008,w_tp_imem_008,gen_imem_latency,1
112,TP-IMEM-010,w_tp_imem_010,gen_imem_latency,1
113,TP-IMEM-014,w_tp_imem_014,gen_imem_fetch_err,1
114,TP-IMEM-016,w_tp_imem_016,gen_imem_fetch_err,1
115,TP-IMEM-017,w_tp_imem_017,gen_imem_redirect,1
116,TP-IMEM-018,w_tp_imem_018,gen_imem_redirect,1
117,TP-IMEM-022,w_tp_imem_022,gen_imem_gating,1
118,TP-IMEM-023,w_tp_imem_023,gen_imem_gating,1
119,TP-IMEM-025,w_tp_imem_025,gen_imem_gating,1
120,TP-IMEM-027,w_tp_imem_027,gen_imem_boot,1
121,TP-IMEM-033,w_tp_imem_033,gen_imem_latency,1
122,TP-IMEM-036,w_tp_imem_036,gen_imem_regime,1
123,TP-IMEM-037,w_tp_imem_037,gen_imem_regime,1
124,TP-IMEM-039,w_tp_imem_039,gen_imem_proto_basic,1
125,TP-IMEM-040,w_tp_imem_040,gen_imem_proto_basic_info,1
126,TP-IRQ-009,w_tp_irq_009,gen_irq_csr,1
127,TP-IRQ-011,w_tp_irq_011,gen_irq_csr,1
128,TP-IRQ-015,w_tp_irq_015,gen_irq_priority,1
129,TP-IRQ-021,w_tp_irq_021,gen_irq_timing,1
130,TP-IRQ-022,w_tp_irq_022,gen_irq_timing,1
131,TP-IRQ-023,w_tp_irq_023,gen_irq_timing,1
132,TP-IRQ-024,w_tp_irq_024,gen_irq_timing,1
133,TP-IRQ-025,w_tp_irq_025,gen_irq_timing,1
134,TP-IRQ-026,w_tp_irq_026,gen_irq_timing,1
135,TP-IRQ-027,w_tp_irq_027,gen_irq_timing,1
136,TP-IRQ-030,w_tp_irq_030,gen_irq_timing,1
137,TP-IRQ-031,w_tp_irq_031,gen_irq_priority,1
138,TP-IRQ-038,w_tp_irq_038,gen_irq_nmi,1
139,TP-IRQ-039,w_tp_irq_039,gen_irq_nmi,1
140,TP-IRQ-041,w_tp_irq_041,gen_irq_debug,1
141,TP-IRQ-044,w_tp_irq_044,gen_irq_nmi_int,1
142,TP-IRQ-045,w_tp_irq_045,gen_irq_nmi_int,1
143,TP-IRQ-049,w_tp_irq_049,gen_irq_wfi,1
144,TP-IRQ-050,w_tp_irq_050,gen_irq_wfi,1
145,TP-IRQ-051,w_tp_irq_051,gen_irq_wfi,1
146,TP-IRQ-052,w_tp_irq_052,gen_irq_wfi,1
147,TP-IRQ-053,w_tp_irq_053,gen_irq_wfi,1
148,TP-IRQ-054,w_tp_irq_054,gen_irq_wfi,1
149,TP-IRQ-055,w_tp_irq_055,gen_irq_wfi,1
150,TP-IRQ-057,w_tp_irq_057,gen_irq_wfi,1
151,TP-IRQ-059,w_tp_irq_059,gen_irq_reset,1
152,TP-IRQ-061,w_tp_irq_061,gen_irq_handler,1
153,TP-IRQ-064,w_tp_irq_064,gen_irq_timing,1
154,TP-IRQ-066,w_tp_irq_066,gen_irq_timing,1
155,TP-IRQ-068,w_tp_irq_068,gen_irq_wfi,1
156,TP-IRQ-070,w_tp_irq_070,gen_irq_csr,1
157,TP-IRQ-072,w_tp_irq_072,gen_irq_regime,1
158,TP-IRQ-073,w_tp_irq_073,gen_irq_regime,1
159,TP-IRQ-077,w_tp_irq_077,gen_irq_regime,1
160,TP-IRQ-078,w_tp_irq_078,gen_irq_debug,1
161,TP-IRQ-079,w_tp_irq_079,gen_irq_nmi,1
162,TP-IRQ-080,w_tp_irq_080,gen_irq_debug,1
163,TP-ISA-024,w_tp_isa_024,gen_isa_cti,1
164,TP-ISA-040,w_tp_isa_040,gen_isa_system,1
165,TP-ISA-051,w_tp_isa_051,gen_isa_illegal_info,1
166,TP-MUL-011,w_tp_mul_011,gen_mul_timing,1
167,TP-MUL-023,w_tp_mul_023,gen_mul_timing,1
168,TP-MUL-024,w_tp_mul_024,gen_mul_timing,1
169,TP-PMC-001,w_tp_pmc_001,gen_pmc_mcycle,1
170,TP-PMC-002,w_tp_pmc_002,gen_pmc_mcycle,1
171,TP-PMC-011,w_tp_pmc_011,gen_pmc_minstret,1
172,TP-PMC-013,w_tp_pmc_013,gen_pmc_minstret_xfail,1
173,TP-PMC-016,w_tp_pmc_016,gen_pmc_minstret,1
174,TP-PMC-024,w_tp_pmc_024,gen_pmc_ctrl,1
175,TP-PMC-028,w_tp_pmc_028,gen_pmc_ctrl,1
176,TP-PMC-034,w_tp_pmc_034,gen_pmc_hpm_event,1
177,TP-PMC-047,w_tp_pmc_047,gen_pmc_hpm_csr,1
178,TP-PMC-058,w_tp_pmc_058,gen_pmc_hpm_b17_br_xfail,1
179,TP-PMC-059,w_tp_pmc_059,gen_pmc_hpm_b17_mul_xfail,1
180,TP-PMC-060,w_tp_pmc_060,gen_pmc_hpm_b17_div_xfail,1
181,TP-PMP-053,w_tp_pmp_053,gen_pmp_recfg,1
182,TP-PMP-077,w_tp_pmp_077,gen_pmp_fetch_fault,1
183,TP-PMP-082,w_tp_pmp_082,gen_pmp_data_fault,1
184,TP-PMP-091,w_tp_pmp_091,gen_pmp_recfg,1
185,TP-PMP-105,w_tp_pmp_105,gen_pmp_random_regime,1
186,TP-PRV-018,w_tp_prv_018,gen_prv_wfi,1
187,TP-PRV-019,w_tp_prv_019,gen_prv_wfi,1
188,TP-REG-001,w_tp_reg_001,gen_reg_knob_sweep,1
189,TP-REG-002,w_tp_reg_002,gen_reg_knob_sweep,1
190,TP-REG-005,w_tp_reg_005,gen_reg_knob_sweep,1
191,TP-REG-006,w_tp_reg_006,gen_reg_knob_sweep,1
192,TP-REG-008,w_tp_reg_008,gen_reg_knob_sweep,1
193,TP-REG-010,w_tp_reg_010,gen_reg_knob_sweep,1
194,TP-REG-011,w_tp_reg_011,gen_reg_knob_sweep,1
195,TP-REG-012,w_tp_reg_012,gen_reg_knob_sweep,1
196,TP-REG-018,w_tp_reg_018,gen_reg_schedule,1
197,TP-REG-020,w_tp_reg_020,gen_reg_inflight,1
198,TP-REG-021,w_tp_reg_021,gen_reg_inflight,1
199,TP-REG-023,w_tp_reg_023,gen_reg_inflight,1
200,TP-REG-026,w_tp_reg_026,gen_xcut_regime_sweep,1
201,TP-REG-027,w_tp_reg_027,gen_csr_mcounteren,1
202,TP-TRG-019,w_tp_trg_019,gen_trg_fire,1
203,TP-TRG-023,w_tp_trg_023,gen_trg_fire,1
204,TP-TRG-025,w_tp_trg_025,gen_trg_fire,1
205,TP-TRG-026,w_tp_trg_026,gen_trg_fire,1
206,TP-TRG-027,w_tp_trg_027,gen_trg_fire,1
207,TP-XIF-001,w_tp_xif_001,gen_xif_random,1
208,TP-XIF-002,w_tp_xif_002,gen_xif_random,1
209,TP-XIF-003,w_tp_xif_003,gen_xif_random,1
210,TP-XIF-004,w_tp_xif_004,gen_xif_random,1
211,TP-XIF-008,w_tp_xif_008,gen_xif_random,1
212,TP-XIF-009,w_tp_xif_009,gen_xif_random,1
213,TP-XIF-010,w_tp_xif_010,gen_xif_random,1
214,TP-XIF-011,w_tp_xif_011,gen_xif_random,1
215,TP-XIF-012,w_tp_xif_012,gen_xif_random,1
216,TP-XIF-014,w_tp_xif_014,gen_xif_random,1
217,TP-XIF-015,w_tp_xif_015,gen_xif_random,1
218,TP-XIF-016,w_tp_xif_016,gen_xif_fetch_enable,1
219,TP-XIF-017,w_tp_xif_017,gen_xif_reset,1
