rank,covergroup,plan_id,ledger,bins_referenced,coverpoints_referenced,coverpoints,manifests,manifest_bins,manifests_completed_at_this_rank,plan_anchor
11,gen_isa_branch_cg,CG-ISA-007,no,146,10,cp_cmp_class (9); cp_offset (2); cp_op (8); cp_taken (2); cp_target_align (2); cp_wrap (1); cr_op_align (16); cr_op_offset_taken (32); cr_op_taken_cmp (66); cr_wrap (8),2,gen_test_cmp_zca (23); gen_test_isa_cti (134),-,gen_fcov_plan.md:435 ### CG-ISA-007: gen_cg_isa_branch
12,gen_isa_alu_imm_cg,CG-ISA-001,no,145,12,cp_addi_wrap (3); cp_imm_class (7); cp_op (6); cp_rd_x0 (2); cp_result_class (6); cp_rs1_class (7); cp_rs1_eq_rd (2); cp_slt_case (7); cr_op_imm (42); cr_op_rd_x0 (12); cr_op_rs1 (42); cr_slt (9),1,gen_test_isa_alu (145),-,gen_fcov_plan.md:322 ### CG-ISA-001: gen_cg_isa_alu_imm
13,gen_isa_shift_cg,CG-ISA-003,no,120,11,cp_op (6); cp_operand (6); cp_rd_x0 (2); cp_result_class (6); cp_rs2_upper (7); cp_shamt (4); cr_op_operand (36); cr_op_rd_x0 (12); cr_op_shamt (12); cr_reg_upper (21); cr_sra_sign (8),2,gen_test_isa_alu (1); gen_test_isa_shift (120),gen_test_isa_shift,gen_fcov_plan.md:365 ### CG-ISA-003: gen_cg_isa_shift
14,gen_pmp_addr_write_cg,CG-PMP-002,no,109,13,cp_hi_bits (4); cp_idx (16); cp_next_cfg (5); cp_op (3); cp_outcome (3); cp_rlb (2); cp_self_lock (2); cp_self_mode (4); cr_hi_mode (12); cr_idx_op (48); cr_self_lock (3); cr_top_lock (2); cr_tor_lock (5),2,gen_test_pmp_csr_warl (92); gen_test_pmp_lock (21),-,gen_fcov_plan.md:2439 ### CG-PMP-002: gen_cg_pmp_addr_write
15,gen_bit_sbit_cg,CG-BIT-006,no,100,11,cp_binv_twice (1); cp_index (3); cp_op (8); cp_operand (3); cp_prior_bit (2); cp_rd_x0 (2); cp_rs2_upper (1); cr_op_index_prior (48); cr_op_operand (12); cr_op_rd_x0 (16); cr_reg_upper (4),1,gen_test_bit_ratified (100),-,gen_fcov_plan.md:917 ### CG-BIT-006: gen_cg_bit_sbit
16,gen_cmp_zcb_cg,CG-CMP-005,no,89,12,cp_addr_align (3); cp_alu_operand (6); cp_data_sign (2); cp_insn (11); cp_regs (2); cp_uimm_b (4); cp_uimm_h (2); cr_alu_operand (30); cr_half_misaligned (9); cr_load_sign (6); cr_ls_b (8); cr_ls_h (6),3,gen_test_bit_ratified (3); gen_test_cmp_zcb (87); gen_test_mul_mul (3),gen_test_cmp_zcb,gen_fcov_plan.md:696 ### CG-CMP-005: gen_cg_cmp_zcb
17,gen_isa_hint_x0_cg,CG-ISA-005,no,84,4,cp_hint_class (25); cp_writer_class (14); cp_x0_read (3); cr_writer_read (42),3,gen_test_bit_ratified (2); gen_test_isa_alu (84); gen_test_mul_div (2),-,gen_fcov_plan.md:399 ### CG-ISA-005: gen_cg_isa_hint_x0
18,gen_cmp_imm_edges_cg,CG-CMP-002,no,79,16,cp_addi16sp_imm (5); cp_addi4spn_imm (3); cp_cb_off (5); cp_ci_imm6 (5); cp_ci_op (3); cp_cj_off (5); cp_link (1); cp_lui_imm (5); cp_lw_sw_uimm (3); cp_shamt (3); cp_shift_op (3); cp_sp_uimm (3); cp_sp_wrap (2); cr_ci (14); cr_shift (9); cr_sp_wrap (10),2,gen_test_cmp_zca (79); gen_test_isa_cti (1),-,gen_fcov_plan.md:646 ### CG-CMP-002: gen_cg_cmp_imm_edges
19,gen_pmc_alias_cg,CG-PMC-006,no,78,10,cp_alias (14); cp_en_bit (2); cp_inhibited (2); cp_mode (2); cp_op (4); cp_result (2); cr_alias_gate (38); cr_inhibit_gate (2); cr_op_result (5); cr_write_alias (7),2,gen_test_pmc_ctrl (78); gen_test_pmc_ctrl_pin_off (78),-,gen_fcov_plan.md:3442 ### CG-PMC-006: gen_cg_pmc_alias
20,gen_bit_clmul_crc_cg,CG-BIT-007,no,77,9,cp_bit_sum (2); cp_op (9); cp_rd_x0 (2); cp_rs1_class (5); cp_rs2_class (5); cr_clmul_bitsum (6); cr_clmul_rs2 (15); cr_op_rd_x0 (18); cr_op_rs1 (15),1,gen_test_bit_ratified (77),-,gen_fcov_plan.md:935 ### CG-BIT-007: gen_cg_bit_clmul_crc
21,gen_isa_jump_cg,CG-ISA-006,no,68,14,cp_jal_off (2); cp_jalr_imm (6); cp_jalr_rs1 (3); cp_link_len (2); cp_op (6); cp_pc_region (1); cp_rd_class (4); cp_target_align (2); cp_target_odd (2); cr_jal_off_rd (8); cr_jalr_rs1_imm (15); cr_link (4); cr_odd (3); cr_op_align (10),2,gen_test_cmp_zca (15); gen_test_isa_cti (65),gen_test_isa_cti,gen_fcov_plan.md:410 ### CG-ISA-006: gen_cg_isa_jump
22,gen_pmc_ctrl_csr_cg,CG-PMC-005,no,66,13,cp_bit (8); cp_effect (2); cp_mode (2); cp_op (4); cp_pattern (4); cp_pin (1); cp_pin_tr (1); cp_reg (2); cp_result (2); cr_en_pin_effect (2); cr_reg_bit_rb (14); cr_reg_mode_result (4); cr_reg_pattern_op (20),2,gen_test_pmc_ctrl (66); gen_test_pmc_ctrl_pin_off (66),-,gen_fcov_plan.md:3411 ### CG-PMC-005: gen_cg_pmc_ctrl_csr
23,gen_cmp_zcmp_hazard_cg,CG-CMP-009,no,60,9,cp_delta_uop (2); cp_ft_kind (6); cp_hazard (12); cp_redirect_once (1); cp_ret_once (1); cp_rlist_class (3); cr_ft_kind (12); cr_hazard_delay (14); cr_hazard_rlist (9),1,gen_test_cmp_zcmp_basic (60),gen_test_cmp_zcmp_basic,gen_fcov_plan.md:785 ### CG-CMP-009: gen_cg_cmp_zcmp_hazard
24,gen_csr_reset_read_cg,CG-CSR-016,no,56,6,cp_boot_lo (2); cp_csr (40); cp_dbg (1); cp_when (3); cr_first_csr (6); cr_mtvec_first (4),2,gen_test_csr_reset (56); gen_test_csr_trap_setup (3),-,gen_fcov_plan.md:1527 ### CG-CSR-016: gen_cg_csr_reset_read
25,gen_bit_perm_cg,CG-BIT-004,no,51,10,cp_bit25 (1); cp_grev_ctrl (4); cp_op (8); cp_operand (5); cp_rd_x0 (2); cp_rs2_upper (2); cr_grev_ctrl (4); cr_op_operand (5); cr_op_rd_x0 (16); cr_reg_upper (4),2,gen_test_bit_draft (15); gen_test_bit_ratified (39),gen_test_bit_draft,gen_fcov_plan.md:881 ### CG-BIT-004: gen_cg_bit_perm
26,gen_pmp_csr_access_cg,CG-PMP-004,no,51,9,cp_class (4); cp_dbg (1); cp_op (6); cp_priv (2); cp_rw (2); cp_trap (2); cr_op_class (24); cr_priv_trap (2); cr_u_class (8),2,gen_test_pmp_csr_warl (51); gen_test_pmp_mseccfg (7),-,gen_fcov_plan.md:2486 ### CG-PMP-004: gen_cg_pmp_csr_access
27,gen_pmp_mseccfg_cg,CG-PMP-003,no,51,19,cp_any_locked (2); cp_csr (2); cp_hi_bits (2); cp_locked_off_only (2); cp_op (3); cp_post (2); cp_pre_mml (2); cp_pre_mmwp (2); cp_pre_rlb (2); cp_wr_mml (2); cp_wr_mmwp (2); cp_wr_rlb (2); cr_hi_bits (1); cr_mml_trans (4); cr_mmwp_trans (4); cr_mseccfgh (3); cr_op_trans (4); cr_rlb_trans (7); cr_state_trans (3),3,gen_test_pmp_csr_warl (3); gen_test_pmp_lock (5); gen_test_pmp_mseccfg (46),-,gen_fcov_plan.md:2459 ### CG-PMP-003: gen_cg_pmp_mseccfg
28,gen_csr_access_class_cg,CG-CSR-001,no,41,11,cp_aclass (6); cp_iclass (1); cp_op (6); cp_priv (1); cp_rd (2); cp_rs1 (1); cp_trap (1); cr_iclass_priv (1); cr_priv_aclass_trap (6); cr_rd_x0_write (8); cr_rs1zero_ro (8),1,gen_test_csr_access (41),-,gen_fcov_plan.md:1195 ### CG-CSR-001: gen_cg_csr_access_class
29,gen_isa_lui_auipc_cg,CG-ISA-004,no,32,9,cp_imm20 (5); cp_op (2); cp_pc_align (2); cp_pc_region (1); cp_rd_x0 (2); cp_wrap (2); cr_auipc_pc (4); cr_op_imm (10); cr_op_rd_x0 (4),1,gen_test_isa_alu (32),gen_test_isa_alu,gen_fcov_plan.md:383 ### CG-ISA-004: gen_cg_isa_lui_auipc
30,gen_pmc_hpm_event_cg,CG-PMC-003,no,32,4,cp_delta_rel (3); cp_idx (10); cp_inhibit (4); cr_idx_inhibit (15),2,gen_test_pmc_ctrl (32); gen_test_pmc_ctrl_pin_off (32),-,gen_fcov_plan.md:3345 ### CG-PMC-003: gen_cg_pmc_hpm_event
31,gen_div_timing_cg,CG-MUL-004,no,28,8,cp_delta (1); cp_dit (2); cp_div0 (2); cp_fetch_stall (1); cp_op (4); cp_wb_defer (1); cr_dit_div0_delta (1); cr_op_div0 (16),1,gen_test_mul_div (28),gen_test_mul_div,gen_fcov_plan.md:588 ### CG-MUL-004: gen_cg_div_timing
32,gen_bit_rotate_shiftones_cg,CG-BIT-003,no,23,3,cp_op (7); cp_rd_x0 (2); cr_op_rd_x0 (14),1,gen_test_bit_ratified (23),-,gen_fcov_plan.md:863 ### CG-BIT-003: gen_cg_bit_rotate_shiftones
33,gen_csr_trap_handling_warl_cg,CG-CSR-003,no,20,5,cp_csr (2); cp_op (6); cp_wpat (1); cr_csr_op (9); cr_csr_wpat (2),1,gen_test_csr_access (20),-,gen_fcov_plan.md:1248 ### CG-CSR-003: gen_cg_csr_trap_handling_warl
34,gen_bit_ternary_cg,CG-BIT-008,no,17,3,cp_op (5); cp_rd_x0 (2); cr_op_rd_x0 (10),1,gen_test_bit_ratified (17),-,gen_fcov_plan.md:951 ### CG-BIT-008: gen_cg_bit_ternary
35,gen_isa_system_cg,CG-ISA-009,no,12,7,cp_debug_mode (1); cp_ebreakm (2); cp_ebreaku (1); cp_op (1); cp_outcome (2); cp_priv (2); cr_ebreak (3),1,gen_test_cmp_zca (12),-,gen_fcov_plan.md:469 ### CG-ISA-009: gen_cg_isa_system
36,gen_bit_xperm_cg,CG-BIT-005,no,11,3,cp_op (3); cp_rd_x0 (2); cr_op_rd_x0 (6),1,gen_test_bit_ratified (11),-,gen_fcov_plan.md:901 ### CG-BIT-005: gen_cg_bit_xperm
37,gen_csr_secureseed_cg,CG-CSR-010,no,11,5,cp_gap (1); cp_op (4); cp_rs1 (1); cr_form_priv_trap (1); cr_op_form_gap (4),2,gen_test_csr_access (10); gen_test_csr_reset (1),-,gen_fcov_plan.md:1415 ### CG-CSR-010: gen_cg_csr_secureseed
38,gen_pmc_write_timing_cg,CG-PMC-007,no,11,4,cp_inhibited (2); cp_target (3); cp_then (2); cr_target_inh_then (4),2,gen_test_pmc_ctrl (11); gen_test_pmc_ctrl_pin_off (11),-,gen_fcov_plan.md:3463 ### CG-PMC-007: gen_cg_pmc_write_timing
39,gen_prv_transition_cg,CG-PRV-001,no,9,4,cp_from (2); cp_to (2); cp_via (2); cr_trans (3),1,gen_test_csr_trap_setup (9),-,gen_fcov_plan.md:1564 ### CG-PRV-001: gen_cg_prv_transition
40,gen_bit_decode_cg,CG-BIT-011,no,8,2,cp_illegal_class (4); cp_misa (4),1,gen_test_bit_ratified (8),-,gen_fcov_plan.md:1016 ### CG-BIT-011: gen_cg_bit_decode
41,gen_mul_timing_cg,CG-MUL-002,no,8,5,cp_delta (1); cp_fetch_stall (1); cp_op (3); cp_wb_busy (1); cr_op_delta_clean (2),1,gen_test_mul_mul (8),gen_test_mul_mul,gen_fcov_plan.md:551 ### CG-MUL-002: gen_cg_mul_timing
42,gen_pmp_access_verdict_cg,CG-PMP-005,no,7,3,cp_mode (3); cr_truth_mml0 (2); cr_truth_mml1 (2),2,gen_test_pmp_csr_warl (3); gen_test_pmp_mseccfg (4),gen_test_pmp_csr_warl,gen_fcov_plan.md:2505 ### CG-PMP-005: gen_cg_pmp_access_verdict
43,gen_prv_trap_vector_cg,CG-PRV-008,no,7,3,cp_base (3); cp_cause (1); cr_base_cause (3),2,gen_test_csr_reset (3); gen_test_csr_trap_setup (5),gen_test_csr_trap_setup,gen_fcov_plan.md:1705 ### CG-PRV-008: gen_cg_prv_trap_vector
44,gen_pmc_hpm_csr_cg,CG-PMC-004,no,6,3,cp_mode (2); cp_result (2); cr_mode_result (2),2,gen_test_pmc_ctrl (6); gen_test_pmc_ctrl_pin_off (6),-,gen_fcov_plan.md:3388 ### CG-PMC-004: gen_cg_pmc_hpm_csr
45,gen_pmc_mcycle_cg,CG-PMC-001,no,6,3,cp_ctx (2); cp_delta (2); cr_ctx_delta (2),2,gen_test_pmc_ctrl (6); gen_test_pmc_ctrl_pin_off (6),-,gen_fcov_plan.md:3288 ### CG-PMC-001: gen_cg_pmc_mcycle
46,gen_csr_write_effect_cg,CG-CSR-012,no,5,3,cp_fam (1); cp_op (2); cr_fam_op (2),1,gen_test_csr_access (5),gen_test_csr_access,gen_fcov_plan.md:1458 ### CG-CSR-012: gen_cg_csr_write_effect
47,gen_pmp_recfg_cg,CG-PMP-011,no,5,2,cp_bb (4); cr_csr_data (1),2,gen_test_pmp_lock (4); gen_test_pmp_mseccfg (1),gen_test_pmp_lock; gen_test_pmp_mseccfg,gen_fcov_plan.md:2647 ### CG-PMP-011: gen_cg_pmp_recfg
48,gen_csr_trigger_csr_cg,CG-CSR-008,no,4,4,cp_csr (1); cp_dbg (1); cp_form (1); cr_csr_dbg_form (1),1,gen_test_csr_reset (4),-,gen_fcov_plan.md:1356 ### CG-CSR-008: gen_cg_csr_trigger_csr
49,gen_pmc_rvfi_ext_cg,CG-PMC-008,no,3,3,cp_debug (1); cp_mcycle_rel (1); cr_rel_debug (1),2,gen_test_pmc_ctrl (3); gen_test_pmc_ctrl_pin_off (3),-,gen_fcov_plan.md:3488 ### CG-PMC-008: gen_cg_pmc_rvfi_ext
50,gen_rst_boot_cg,CG-RST-001,no,3,2,cp_boot_addr (2); cp_first_event (1),1,gen_test_rst_boot (3),-,gen_fcov_plan.md:5587 ### CG-RST-001: gen_cg_rst_boot
51,gen_sec_ctrl_inputs_cg,CG-SEC-005,no,3,2,cp_bit8_readback (2); cp_bits67_readback (1),1,gen_test_rst_boot (3),-,gen_fcov_plan.md:5486 ### CG-SEC-005: gen_cg_sec_ctrl_inputs
52,gen_csr_cpuctrlsts_cg,CG-CSR-009,no,2,1,cp_key_pin (2),1,gen_test_csr_reset (2),-,gen_fcov_plan.md:1380 ### CG-CSR-009: gen_cg_csr_cpuctrlsts
53,gen_csr_pmp_warl_cg,CG-CSR-011,no,2,1,cp_fam (2),1,gen_test_csr_reset (2),gen_test_csr_reset,gen_fcov_plan.md:1438 ### CG-CSR-011: gen_cg_csr_pmp_warl
54,gen_pmc_minstret_cg,CG-PMC-002,no,2,1,cp_inhibit_ir (2),2,gen_test_pmc_ctrl (2); gen_test_pmc_ctrl_pin_off (2),gen_test_pmc_ctrl; gen_test_pmc_ctrl_pin_off,gen_fcov_plan.md:3313 ### CG-PMC-002: gen_cg_pmc_minstret
55,gen_rvfi_record_cg,CG-RVFI-001,no,2,1,cp_mode (2),1,gen_test_rst_boot (2),gen_test_rst_boot,gen_fcov_plan.md:5752 ### CG-RVFI-001: gen_cg_rvfi_record
56,gen_bit_bfp_cg,CG-BIT-009,no,1,1,cp_rd_x0 (1),1,gen_test_bit_ratified (1),gen_test_bit_ratified,gen_fcov_plan.md:972 ### CG-BIT-009: gen_cg_bit_bfp
57,gen_cmp_illegal_cg,CG-CMP-004,no,1,1,cp_class (1),1,gen_test_cmp_zca (1),gen_test_cmp_zca,gen_fcov_plan.md:680 ### CG-CMP-004: gen_cg_cmp_illegal
